Security Requirement Family,Security Requirement Identifier,Security Requirement Type,Security Requirement Description,Recommended Implementation Guidance,User Questions,Answer Type,Answer Content,Video,Documentation Required?,Additional Text,Notes,,
Access Control,3.1.12,Derived,Monitor and control remote access sessions.,"[Company Name] monitors remote access sessions by running system and network monitoring applications as well as auditing the execution of all privileged functions. [Company Name] controls remote access sessions by utilizing end-to-end encryption, implementing strict firewall rules, and running only essential applications. ","Does the organization monitor remote access sessions by running system and network monitoring applications as well as auditing the execution of all privileged functions? Also, does the organization control remote access sessions by utilizing end-to-end encryption, implementing strict firewall rules, and running only essential applications.?",boolean,yes/no,Plv5trQktOs,N,,,,
Access Control,3.1.13,Derived,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,[Company Name] requires the use of an approved encryption method for any application remotely accessing the system.,Does the organization require the use of an approved encryption method for any application remotely accessing the system?,boolean,yes/no,4apfF2-PKno,N,,,,
Access Control,3.1.14,Derived,Route remote access via managed access control points.,"[Company Name] requires the use of an approved encryption method for any application remotely accessing the system. Utilizing an up-to-date access control list, [Company Name] implements and enforces Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate. ","Does the organization require the use of an approved encryption method for any application remotely accessing the system? Utilizing an up-to-date access control list does the organization implement and enforce Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate?",boolean,yes/no,fSw3rBLkL7E,N,,,,
Access Control,3.1.15,Derived,Authorize remote execution of privileged commands and remote access to security-relevant information.,"When vital to operational functionality, [Company Name] permits remote execution of privileged commands and remote access to security-relevant information.","When vital to operational functionality, does the organization permit remote execution of privileged commands and remote access to security-relevant information?",boolean,yes/no,P95ZjLW9kc8,N,,,,
Access Control,3.1.16,Derived,Authorize wireless access prior to allowing such connections.,"[Company Name] authorizes the use of wireless technologies via established guidelines, but network access will be restricted, monitored, and controlled.","Does the organization authorize the use of wireless technologies via established guidelines, but restrict, monitor, and control network access?",boolean,yes/no,oJJxIOwokdU,Y,Provide a copy of your wireless acess policy,,,
Access Control,3.1.17,Derived,Protect wireless access using authentication and encryption.,Wireless access is restricted to authorized users only.  [Company Name] requires the use of an approved encryption method for any application remotely accessing the system.,Does the organization restrict wireless access  to authorized users only and require the use of an approved encryption method for any application remotely accessing the system?,boolean,yes/no,ui2s4Ui-sEA,N,,,,
Access Control,3.1.18,Derived,Control connection of mobile devices.,"[Company Name] authorizes the use of mobile devices via established guidelines, but network access will be restricted, monitored, and controlled.","Does the organization authorize the use of mobile devices via established guidelines, but restrict, monitor, and control network access?",boolean,yes/no,Nhi5nYqKtsY,Y,Provide a copy of your moblie device policy,,,
Access Control,3.1.19,Derived,Encrypt CUI on mobile devices.,[Company Name] requires the use of an approved encryption method for any mobile device remotely accessing the system.,Does the organization require the use of an approved encryption method for any mobile device remotely accessing the system?,boolean,yes/no,xThmkBy9IXY,Y,,,,
Access Control,3.1.20,Derived,Verify and control/limit connections to and use of external information systems.,[Company Name] places guidelines and restrictions on the use of personally owned devices and external information systems. ,Does the organization place guidelines and restrictions on the use of personally owned devices and external information systems?,boolean,yes/no,X_n-4f3zZjY,Y,Provide a copy of your bring your own device (BYOD) Policy,,,
Access Control,3.1.21,Derived,Limit use of organizational portable storage devices on external information systems.,[Company Name] places guidelines and restrictions on the use of portable storage devices.,Does the organization place guidelines and restrictions on the use of portable storage devices?,boolean,yes/no,k3gMQGgiUbw,Y,Provide a copy of your removable media policy,,,
Access Control,3.1.22,Derived,Control information posted or processed on publicly accessible information systems.,[Company Name] allows authorized individuals to post information on publically accessible information systems. Authorized individuals are trained to ensure that non-public information is not posted. Public information is reviewed annually to ensure that non-public information is not posted.,Does the organization allow authorized individuals to post information on publically accessible information systems? Are authorized individuals  trained to ensure that non-public information is not posted? Is public information  reviewed annually to ensure that non-public information is not posted?,boolean,yes/no,6EXmxRYWgGc,N,,,,
Awareness and Training,3.2.1,Basic,"Ensure that managers, systems administrators, and users of organizational information systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of organizational information systems.","[Company Name] provides initial and annual training to managers, system administrators, and users of the information system commensurate with their role and responsibilities. The training ensures a basic understanding of the security risks associated with their activities as well as applicable policies, standards, and procedures related to the security of the information system.","Does the organization provide initial and annual training to managers, system administrators, and users of the information system commensurate with their role and responsibilities that ensures a basic understanding of the security risks associated with their activities as well as applicable policies, standards, and procedures related to the security of the information system?",boolean,yes/no,4M08g_1eeNI,Y,Provide a copy of your Training Policy and User completion certificates,,,
Awareness and Training,3.2.2,Basic,Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,"[Company Name] provides initial and annual training to personnel with security-related duties and responsibilities. The training addresses security requirements related to environmental and physical security risks as well as provides  protential  indicators of suspicious email, web communication, and other anomalous system behavior.","Does the organization provide initial and annual training to personnel with security-related duties and responsibilities? Additionally does the training address security requirements related to environmental and physical security risks as well as providing potential  indicators of suspicious email, web communication, and other anomalous system behavior?",boolean,yes/no,q_Wt88zHZp4,N,,,,
Awareness and Training,3.2.3,Derived,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,"[Company Name] provides initial and annual training to managers, system administrators, and users of the information system on potential indicators and possible precursors of insider threat to include long-term job dissatisfaction, attempts to gain unauthorized accesss to information, unexplained access to financial resources, bullying or sexual harassment of fellow employees, and workplace violence. ","Does the organization provide initial and annual training to managers, system administrators, and users of the information system on potential indicators and possible precursors of insider threat to include long-term job dissatisfaction, attempts to gain unauthorized access to information, unexplained access to financial resources, bullying or sexual harassment of fellow employees, and workplace violence?",boolean,yes/no,gKwdtW006i0,N,,,,
Audit and Accountability,3.3.1,Basic,"Create, protect, and retain information system audit records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful, unauthorized, or inappropriate information system activity.","[Company Name] creates, protects, and retains information system audit records for at least a year in order to enable the monitoring, analysis, investigation, and reporting of unlawful, unauthorized, or inappropriate system activity.","Does the organization create, protect, and retain information system audit records for at least a year in order to enable the monitoring, analysis, investigation, and reporting of unlawful, unauthorized, or inappropriate system activity?",boolean,yes/no,UlLm_Dla8sQ,Y,Provide a copy of your Audit Policy,,,
Audit and Accountability,3.3.2,Basic,Ensure that the actions of individual information system users can be uniquely traced to those users so they can be held accountable for their actions.,[Company Name] correlates network activity to individual user information order to uniquely trace and hold accountable users responsible for unauthorized actions.,Does the organization correlate network activity to individual user information order to uniquely trace and hold accountable users responsible for unauthorized actions?,boolean,yes/no,GKQYhmAng2w,N,,,,
Audit and Accountability,3.3.3,Derived,Review and update audited events.,"[Company Name] reviews and updates audited events annually, or when substantial system changes occur, to ensure that the information system is correctly auditing events, ensure coordination with other organizational entities requiring audit-related information, and provide a rational for why the audited events are deemed adequate to support forensic investigations.","Does the organization review and update audited events annually, or when substantial system changes occur, to ensure that the information system is correctly auditing events, ensure coordination with other organizational entities requiring audit-related information, and provide a rational for why the audited events are deemed adequate to support forensic investigations?",boolean,yes/no,4zNw3Ipcwsw,Y,Provide a copy of your Audit Policy,,,
Audit and Accountability,3.3.4,Derived,Alert in the event of an audit process failure.,"[Company Name] alerts personnel with security responsibilities in the event of an audit processing failure, and maintains audit records on host servers until log delivery to central repositories can be re-established.","Does the organization alert personnel with security responsibilities in the event of an audit processing failure, and maintain audit records on host servers until log delivery to central repositories can be re-established?",boolean,yes/no,3NXOM8p02UU,N,,,,
Audit and Accountability,3.3.5,Derived,"Use automated mechanisms to integrate and correlate audit review, analysis, and reporting processes for investigation and response to indications of inappropriate, suspicious, or unusual activity.","[Company Name] employs automated mechanisms across different repositories to integrate and correlate audit review, analysis, and reporting processes for investigation and response to indications of inappropriate, suspicious, or unusual activity.","Does the organization employ automated mechanisms across different repositories to integrate and correlate audit review, analysis, and reporting processes for investigation and response to indications of inappropriate, suspicious, or unusual activity?",boolean,yes/no,1L5hwLOHu3U,N,,,,
Audit and Accountability,3.3.6,Derived,Provide audit reduction and report generation to support on-demand analysis and reporting.,"[Company Name] provides audit reduction and report generation to support on-demand analysis and reporting.  The information system is capability of processing audit records for events based on a variety of unique fields to include IP address, user identity, event type, location, time, date, system resources, and information accessed.","Does the organization provide audit reduction and report generation to support on-demand analysis and reporting?  Additionally is the information system capable of processing audit records for events based on a variety of unique fields to include IP address, user identity, event type, location, time, date, system resources, and information accessed?",boolean,yes/no,af3Au7YPAJs,Y,Provide a copy of your Audit Policy / Audit Reports,,,
Audit and Accountability,3.3.7,Derived,Provide an information system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,"[Company Name] uses internal system clocks to generate time stamps for audit records, and records time stamps that can be mapped to UTC. Additionally, [Company Name] compares system clocks with authoritative NTP servers, and synchronizes system clocks when the time difference is greater than 1 second.","Does the organization use internal system clocks to generate time stamps for audit records, and records time stamps that can be mapped to UTC? Additionally does it compare system clocks with authoritative NTP servers, and synchronizes system clocks when the time difference is greater than 1 second?",boolean,yes/no,5hob5BkAx-E,N,,,,
Audit and Accountability,3.3.8,Derived,"Protect audit information and audit tools from unauthorized access, modification, and deletion.","[Company Name] protects audit information and audit tools from unauthorized access, modification, and deletion.","Does the organization protect audit information and audit tools from unauthorized access, modification, and deletion?",boolean,yes/no,Ld0uni6Puzg,N,,,,
Audit and Accountability,3.3.9,Derived,Limit management of audit functionality to a subset of privileged users.,[Company Name] limits management of audit functionality to only authorized individuals with designated auditing responsibilities.,Does the organization limit management of audit functionality to only authorized individuals with designated auditing responsibilities?,boolean,yes/no,gkG7V7soxqc,Y,Provide a copy of your Audit Policy,,,
Configuration Management,3.4.1,Basic,"Establish and maintain baseline configurations and inventories of organizational information systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.","[Company Name] establishes and maintains baseline configurations and inventories of the information system's hardware, software, firmware, and documentation. 
Baseline configurations changes are reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations are documented accordingly.","Does the organization establish and maintain baseline configurations and inventories of the information system's hardware, software, firmware, and documentation? 
Additionally are baseline configuration changes reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations  documented accordingly?",boolean,yes/no,ibonVV8ox3g,Y,Provide a copy of your Baseline Security Configuration Policy/Procedures,,,
Configuration Management,3.4.2,Basic,Establish and enforce security configuration settings for information technology products employed in organizational information systems.,"[Company Name] incorporates security settings into the baseline configurations, thus creating a restrictive yet compliant environment. Baseline configurations changes are reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations are documented accordingly.","Does the organization incorporate security settings into the baseline configurations, thus creating a restrictive yet compliant environment? Additionally are baseline configuration changes reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations  documented accordingly?",boolean,yes/no,0BYfL-B8ecM,N,,,,
Configuration Management,3.4.3,Derived,"Track, review, approve/disapprove, and audit changes to information systems.",Baseline configurations changes are reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations are documented accordingly.,Are baseline configuration changes reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations  documented accordingly?,boolean,yes/no,LdsD8NZ7Ra8,Y,Provide a copy of your CCB Policy/Procedures,,,
Configuration Management,3.4.4,Derived,Analyze the security impact of changes prior to implementation.,Baseline configurations changes are reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations are documented accordingly. Only changes or deviations that continue to meet compliance requirements are approved and implemented.,Are baseline configuration changes reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations documented accordingly? Are changes or deviations that continue to meet compliance requirements only approved and implemented?,boolean,yes/no,MaVaQDmbQoA,N,,,,
Configuration Management,3.4.5,Derived,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the information system.",Only authorized personnel are approved to make physical or logical changes on the information system. All change documentation must include the authorized personnel making the change.,Does the organization ensure only authorized personnel are approved to make physical or logical changes on the information system and all change documentation includes the authorized personnel making the change?,boolean,yes/no,V9vshpQ_QYg,N,,,,
Configuration Management,3.4.6,Derived,Employ the principle of least functionality by configuring the information system to provide only essential capabilities.,"[Company Name] incorporates security settings into the baseline configurations, thus creating a restrictive yet compliant environment. The information system is configured to deliver one function per system component where practical.","Does the organization incorporate security settings into the baseline configurations, thus creating a restrictive yet compliant environment? Is the information system configured to deliver one function per system component where practical?",boolean,yes/no,WM8HgzQNCs8,N,,,,
Configuration Management,3.4.7,Derived,"Restrict, disable, and prevent the use of nonessential programs, functions, ports, protocols, and services.","After determining what is essential for system functionality, [Company Name] restricts, disables, and prevents the use of nonessential programs, functions, ports, protocols, and services.","After determining what is essential for system functionality, does the organization restrict, disable, and prevent the use of nonessential programs, functions, ports, protocols, and services?",boolean,yes/no,CVXs-NZ1SHk,Y,"Provide a copy of your Ports, Protocols and Services Policy",,,
Configuration Management,3.4.8,Derived,"Apply deny-by-exception (blacklist) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.","[Company Name] implements a deny-all, permit-by-exception (whitelisting) policy to allow for the execution of authorized software. Additionally, strict firewall rules are in place to restrict port access and user control. ","Does the organization implement a deny-all, permit-by-exception (whitelisting) policy to allow for the execution of authorized software? Additionally, are strict firewall rules  in place to restrict port access and user control?",boolean,yes/no,FWCnD0yYk5U,N,,,,
Configuration Management,3.4.9,Derived,Control and monitor user-installed software.,"User-installed software is strictly prohibited. [Company Name] implements a deny-all, permit-by-exception (whitelisting) policy to allow for the execution of authorized software. Baseline configurations changes are reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations are documented accordingly. ","Is user-installed software is strictly prohibited? Does [Company Name] implement a deny-all, permit-by-exception (whitelisting) policy to allow for the execution of authorized software? Are baseline configurations changes  reviewed and approved via a Configuration Control Board (CCB) and deviations from baseline configurations are documented accordingly?",boolean,yes/no,dCiOgYbSZhs,Y,Provide a copy of your System Use Policy,,,
Identification and Authentication,3.5.1,Basic,"Identify information system users, processes acting on behalf of users, or devices.","Using a centralized management system, [Company Name] creates unique individual accounts that are deprovisioned automatically when an individual leaves.","Using a centralized management system, does the organization create unique individual accounts that are deprovisioned automatically when an individual leaves?",boolean,yes/no,,N,,,,
Identification and Authentication,3.5.2,Basic,"Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.","[Company Name] maintains an access control  list of authorized users,  defining their roles and responsibilities as well as syncing with system, application and data layers. All account requests must be authorized before access is granted. Using a centralized management system, [Company Name] creates unique individual accounts that are deprovisioned automatically when an individual leaves.","Does the organization maintain an access control  list of authorized users,  defining their roles and responsibilities as well as syncing with system, application and data layers? Are all account requests authorized before access is granted? Using a centralized management system, does the organization create unique individual accounts that are deprovisioned automatically when an individual leaves?",boolean,yes/no,,N,,,,
Identification and Authentication,3.5.3,Derived,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,[Company Name] requires multifactor authentication for all privileged and non-privileged accounts accessing the information system.  ,Does the organization require multifactor authentication for all privileged and non-privileged accounts accessing the information system?,boolean,yes/no,,N,,,,
Identification and Authentication,3.5.4,Derived,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,[Company Name] employs replay-resistant authentication mechanisms for all privileged and non-privileged accounts accessing the information system. ,Does the organization employ replay-resistant authentication mechanisms for all privileged and non-privileged accounts accessing the information system? ,boolean,yes/no,,N,,,,
Identification and Authentication,3.5.5,Derived,Prevent reuse of identifiers for a defined period.,"Using a centralized management system, [Company Name] creates unique individual accounts that are deprovisioned automatically when an individual leaves. Identifiers are not reused.","Using a centralized management system, does the organization create unique individual accounts that are deprovisioned automatically when an individual leaves and Identifiers are not reused?",boolean,yes/no,,N,,,,
Identification and Authentication,3.5.6,Derived,Disable identifiers after a defined period of inactivity.,[Company Name] monitors user accounts and identifiers for inactivity and disables account access to the information system after a predetermined time of inactivity.,Does the organization monitor user accounts and identifiers for inactivity and disable account access to the information system after a predetermined time of inactivity?,boolean,yes/no,,Y, Provide a copy of your Account Management Policy,,,
Identification and Authentication,3.5.7,Derived,Enforce a minimum password complexity and change of characters when new passwords are created.,"Using uppercase letters, lowercase letters, numbers, and special characters, [Company Name] requires the password length to be a minimum of [X] characters.","Using uppercase letters, lowercase letters, numbers, and special characters, does the organization require the password length to be a minimum of [X] characters?",boolean,yes/no,,Y,Provide a copy of your Password Policy,,,
Identification and Authentication,3.5.8,Derived,Prohibit password reuse for a specified number of generations.,Users may not use the same password for at least [X] iterations.,Does the organization ensure users may not use the same password for at least [X] iterations?,boolean,yes/no,,N,,,,
Identification and Authentication,3.5.9,Derived,Allow temporary password use for system logons with an immediate change to a permanent password.,[Company Name] only uses temporary passwords when a password reset is required.,Does the organization only use temporary passwords when a password reset is required?,boolean,yes/no,,N,,,,
Identification and Authentication,3.5.10,Derived,Store and transmit only encrypted representation of passwords.,"[Company Name] does not store passwords in reversible encryption form. Instead, passwords are stored as one-way hashes using AES 256 encryption.","Instead of storing passwords in reversible encryption form, are passwords stored as one-way hashes using AES 256 encryption?",boolean,yes/no,,N,,,,
Identification and Authentication,3.5.11,Derived,Obscure feedback of authentication information.,[Company Name] uses control mechanisms that inherently obscure feedback of authentication information.,Does the organization use control mechanisms that inherently obscure feedback of authentication information?,boolean,yes/no,,N,,,,
Incident Response,3.6.1,Basic,"Establish an operational incident-handling capability for organizational information systems that includes adequate preparation, detection, analysis, containment, recovery, and user response activities.","[Company Name] has developed an incident response plan, which specifically outlines requirements for handling of incidents involvoing CUI.","Has the organization developed an incident response plan, which specifically outlines requirements for handling of incidents involving CUI?",boolean,yes/no,54vO4mIGvPY,Y,Provide a copy of your Incident Response Plan,,,
Incident Response,3.6.2,Basic,"Track, document, and report incidents to appropriate officials and/or authorities both internal and external to the organization.","[Company Name] has developed an incident response plan, which specifically outlines requirements for tracking and reporting of incidents involving CUI.","Has the organization developed an incident response plan, which specifically outlines requirements for tracking and reporting of incidents involving CUI?",boolean,yes/no,Y1n1PytNqNA,N,,,,
Incident Response,3.6.3,Derived,Test the organizational incident response capability.,"[Company Name] has developed an incident response plan, which specifically outlines requirements for testing, reviewing, and improving incident response capabilities.","Has the organization developed an incident response plan, which specifically outlines requirements for testing, reviewing, and improving incident response capabilities?",boolean,yes/no,oak7JMgknU8,N,,,,
Maintenance,3.7.1,Basic,Perform maintenance on organizational information systems.,"[Company Name] performs regularly scheduled maintenance, to include manufacturer recommendations, on all equipment encompassing the information system. ","Does the organization perform regularly scheduled maintenance, to include manufacturer recommendations, on all equipment encompassing the information system?",boolean,yes/no,fJ9IlOMzj18,Y,Provide a copy of your System Maintenance Policy,,,
Maintenance,3.7.2,Basic,"Provide effective controls on the tools, techniques, mechanisms, and personnel used to conduct information system maintenance.","[Company Name] permits only authorized tools, authorized techniques, authorized mechanisms, and authorized personnel to be employed for system maintenance.","Does the organization permit only authorized tools, authorized techniques, authorized mechanisms, and authorized personnel to be employed for system maintenance?",boolean,yes/no,jRO2woTGGdw,N,,,,
Maintenance,3.7.3,Derived,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,"Using established guidelines, [Company Name] must ensure any media removed for maintenance or disposal is properly sanitized.","Using established guidelines, does the organization ensure any media removed for maintenance or disposal is properly sanitized?",boolean,yes/no,pFElPjVCKO8,Y,Provide a copy of your Media Sanitzation Policy,,,
Maintenance,3.7.4,Derived,Check media containing diagnostic and test programs for malicious code before the media are used in the information system.,"Any media that is provided by authorized maintenance personnel for troubleshooting, diagnostics, or other maintenance activities must be run through an anti-virus/anti-malware program prior to use on the information system.","Does the organization ensure that any media that is provided by authorized maintenance personnel for troubleshooting, diagnostics, or other maintenance activities must be run through an anti-virus/anti-malware program prior to use on the information system?",boolean,yes/no,8kLsV_BLf94,N,,,,
Maintenance,3.7.5,Derived,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,"[Company Name] controls remote access sessions by utilizing end-to-end encryption, implementing strict firewall rules, and running only essential applications. The connection must be terminated when nonlocal maintenance is complete.","Does the organization control remote access sessions by utilizing end-to-end encryption, implementing strict firewall rules, and running only essential applications and the connection  terminated when nonlocal maintenance is complete?",boolean,yes/no,RzyXx8UX2BQ,Y,Provide a copy of your Remote Access policy,,,
Maintenance,3.7.6,Derived,Supervise the maintenance activities of maintenance personnel without required access authorization.,[Company Name] monitors all maintenance activities of maintenance personnel.,Does the organization monitor all maintenance activities of maintenance personnel?,boolean,yes/no,vs4FlDAuYR0,N,,,,
Media Protection,3.8.1,Basic,"Protect (i.e., physically control and securely store) information system media containing CUI, both paper and digital.","[Company Name] protects information system media containing CUI, both paper and digital, via documented workflow, data access controls, and media protection policies and procedures.","Does the organization protect information system media containing CUI, both paper and digital, via documented workflow, data access controls, and media protection policies and procedures?",boolean,yes/no,wcGZLEemx2E,Y,Provide a copy of your CUI Media Protection Policy,,,
Media Protection,3.8.2,Basic,Limit access to CUI on information system media to authorized users.,[Company Name] only grants enough privileges to a system user to allow them to sufficiently fulfill their job duties.,Does the organization ensure it only grants enough privileges to a system user to allow them to sufficiently fulfill their job duties?,boolean,yes/no,IbAvBQkDdW4,N,,,,
Media Protection,3.8.3,Basic,Sanitize or destroy information system media containing CUI before disposal or release for reuse.,"[Company Name] ensures all information system media containing CUI will be sufficiently encrypted, erased, or destroyed to guarantee that no usable data is retrievable. ","Does the organization ensure all information system media containing CUI will be sufficiently encrypted, erased, or destroyed to guarantee that no usable data is retrievable?",boolean,yes/no,fBWxoMcHAGQ,N,,,,
Media Protection,3.8.4,Derived,Mark media with necessary CUI markings and distribution limitations.,[Company Name] ensures all media will be labeled with CUI markings and distribution limitations.,Does the organization ensure all media will be labeled with CUI markings and distribution limitations?,boolean,yes/no,LTAUn-IavPo,Y,Provide a copy of your Media Labeling Policy  and Procedures,,,
Media Protection,3.8.5,Derived,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,Only authorized individuals have access to media containing CUI. [Company Name] maintains a chain of evidence for any media removed from the information system.,Does the organization only authorize individuals have access to media containing CUI and  maintains a chain of evidence for any media removed from the information system?,boolean,yes/no,YaNcYhA90Wg,Y,Provide a copy of your Access Control Policy,,,
Media Protection,3.8.6,Derived,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,[Company Name] ensures all media containing CUI is encrypted and/or physically locked prior to transport outside of controlled areas.,Does the organization ensure all media containing CUI is encrypted and/or physically locked prior to transport outside of controlled areas?,boolean,yes/no,htfIxQHApN0,N,,,,
Media Protection,3.8.7,Derived,Control the use of removable media on information system components.,[Company Name] requires that removable media must support physical encryption and key vaulting to ensure recoverability.,Does the organization require that removable media  support physical encryption and key vaulting to ensure recoverability?,boolean,yes/no,-fcYg0pyjrc,N,,,,
Media Protection,3.8.8,Derived,Prohibit the use of portable storage devices when such devices have no identifiable owner.,"[Company Name] authorizes the use of portable storage devices via established guidelines, but information system access will be restricted, monitored, and controlled.","Does the organization authorize the use of portable storage devices via established guidelines, but restrict, monitor, and control information system access?",boolean,yes/no,jg5U1GEBdbM,N,,,,
Media Protection,3.8.9,Derived,Protect the confidentiality of backup CUI at storage locations.,"Using an approved encryption method, [Compay Name] protects the confidentiality of backup CUI at storage locations. ","Using an approved encryption method, does the organization protect the confidentiality of backup CUI at storage locations?",boolean,yes/no,yOOxuUqGWqw,N,,,,
Personnel Security,3.9.1,Basic,Screen individuals prior to authorizing access to information systems containing CUI.,"[Company Name] screens individuals prior to authorizing access to the information system containing CUI in accordance with applicable federal laws, executive orders, directives, policies, regulations, standards, and guidance. ","Does the organization screen individuals prior to authorizing access to the information system containing CUI in accordance with applicable federal laws, executive orders, directives, policies, regulations, standards, and guidance?",boolean,yes/no,0Fenv0ykF70,Y,Provide a copy of your Personnel Security Policy,,,
